image_name,target
ISIC_0052060,0.016590
ISIC_0052349,0.014100
ISIC_0058510,0.017129
ISIC_0073313,0.014191
ISIC_0073502,0.017036
ISIC_0074618,0.017375
ISIC_0076801,0.021385
ISIC_0077586,0.031982
ISIC_0082004,0.023945
ISIC_0082785,0.020056
ISIC_0085332,0.013247
ISIC_0087243,0.016424
ISIC_0088167,0.016023
ISIC_0089356,0.016317
ISIC_0090283,0.026804
ISIC_0092481,0.014811
ISIC_0095455,0.013093
ISIC_0095790,0.019331
ISIC_0097719,0.085550
ISIC_0099348,0.042421
ISIC_0101040,0.019764
ISIC_0101383,0.018397
ISIC_0105104,0.083802
ISIC_0108196,0.022179
ISIC_0112420,0.634610
ISIC_0114232,0.013204
ISIC_0115798,0.018834
ISIC_0116844,0.016539
ISIC_0126432,0.016239
ISIC_0131485,0.013813
ISIC_0131912,0.013651
ISIC_0131978,0.016380
ISIC_0139322,0.015028
ISIC_0142066,0.015721
ISIC_0143109,0.020723
ISIC_0148210,0.044330
ISIC_0148937,0.036844
ISIC_0150213,0.015451
ISIC_0152553,0.014740
ISIC_0153127,0.020098
ISIC_0154289,0.014760
ISIC_0155813,0.073043
ISIC_0155983,0.174123
ISIC_0157088,0.014738
ISIC_0158761,0.015136
ISIC_0161963,0.036476
ISIC_0165178,0.045296
ISIC_0165230,0.021173
ISIC_0165615,0.013680
ISIC_0165617,0.016824
ISIC_0165674,0.014266
ISIC_0165928,0.020748
ISIC_0166561,0.017289
ISIC_0168125,0.019981
ISIC_0169378,0.017425
ISIC_0169575,0.016434
ISIC_0169906,0.213281
ISIC_0171865,0.078549
ISIC_0172678,0.018025
ISIC_0174800,0.024827
ISIC_0175014,0.017638
ISIC_0175798,0.113045
ISIC_0176152,0.021187
ISIC_0177083,0.014519
ISIC_0178235,0.196680
ISIC_0178258,0.020748
ISIC_0178428,0.031283
ISIC_0178741,0.046193
ISIC_0180057,0.027532
ISIC_0182213,0.197698
ISIC_0183334,0.016501
ISIC_0183449,0.042568
ISIC_0183658,0.017424
ISIC_0183771,0.023984
ISIC_0186715,0.044114
ISIC_0187786,0.014105
ISIC_0188485,0.018852
ISIC_0191895,0.061349
ISIC_0192184,0.022171
ISIC_0192807,0.013823
